"";"2018";"2017";"Компания";"Регион";"Основной вид   деятельности компании";"Отрасль";"Выручка в 2016   году, млн руб.";"Выручка в 2015   году, млн руб.";"Прирост выручки   в 2016 году, %";"Чистая прибыль в   2016 году, млн руб.";"Чистая прибыль в   2015 году, млн руб."
"291";1414;3;"ООО   «ПИТЕЙНЫЙ ДОМ»";"Адыгея";"Производство   напитков";"АПК   и пищевая промышленность";9;54381;38338;41;1718
"292";6645;4;"ООО   «ЮГ-ПРОФИЛЬ»";"Ростовская   область";"Производство   строительных металлических конструкций, изделий и их частей";"Промышленность   строительных материалов";5;44756;38681;15;2944
"293";11847;5;"ООО   «ЛАБИНСКИЙ ДЕРЕВООБРАБАТЫВАЮЩИЙ КОМБИНАТ»";"Краснодарский   край";"Распиловка   и строгание древесины";"Деревообрабатывающая   и целлюлозно-бумажная";3;42791;47460;-9;11576
"294";6923;6;"ОАО   «ПЛЕМЗАВОД “ВОЛЯ”»";"Краснодарский   край";"Выращивание   зерновых культур";"АПК   и пищевая промышленность";7;39292;26096;50;10776
"295";1;2;"ООО   «ФОРТЕ ПРОМ ГМБХ»";"Волгоградская   область";"Производство   радиаторов";"Машиностроение   и металлообработка";108657;78313;38;24748;15335
"296";2;1;"ЗАО   «ДОНОБУВЬ»";"Ростовская   область";"Производство   обуви";"Лёгкая   промышленность";70978;81897;-13;1828;9325
"297";3;9;"ООО   «СТЕЛЛАР»";"Ростовская   область";"Производство   игр и игрушек";"Лёгкая   промышленность";54381;38338;41;1718;1414
"298";4;5;"ООО   «МДМ»";"Ставропольский   край";"Переработка   и консервирование мяса и мясной пищевой продукции";"АПК   и пищевая промышленность";44756;38681;15;2944;6645
"299";5;3;"ЗАО   «КОМПЛЕКС ПИЩЕВЫХ ПРЕДПРИЯТИЙ “ЛАЗУРНЫЙ”»";"Краснодарский   край";"Производство   безалкогольных напитков; минеральных вод и прочих питьевых вод";"АПК   и пищевая промышленность";42791;47460;-9;11576;11847
"300";6;7;"АО   «ХОПЕРСКАЯ УПАКОВКА»";"Волгоградская   область";"Прочие   виды полиграфической деятельности";"Деревообрабатывающая   и целлюлозно-бумажная";39292;26096;50;10776;6923
