"";"2018";"2017";"Компания";"Регион";"Основной вид   деятельности компании";"Отрасль";"Выручка в 2016   году, млн руб.";"Выручка в 2015   году, млн руб.";"Прирост выручки   в 2016 году, %";"Чистая прибыль в   2016 году, млн руб.";"Чистая прибыль в   2015 году, млн руб."
"215";5;3;"АО   «БАХЧИСАРАЙСКИЙ КОМБИНАТ “СТРОЙИНДУСТРИЯ”»";"Республика   Крым";"Производство   цемента";"Промышленность   строительных материалов";42791;47460;-9;11576;11847
"216";6;7;"ООО   «АПК МИЛЬСТРИМ-ЧЕРНОМОРСКИЕ ВИНА»";"Краснодарский   край";"Производство   напитков";"АПК   и пищевая промышленность";39292;26096;50;10776;6923
"217";2;108657;"ОАО   «ПТИЦЕФАБРИКА ТАГАНРОГСКАЯ»";"Ростовская   область";"Разведение   сельскохозяйственной птицы";"АПК   и пищевая промышленность";78313;38;24748;15335;1
"218";1;70978;"АО   «МОЛСЫРКОМБИНАТ-ВОЛЖСКИЙ»";"Волгоградская   область";"Производство   молока (кроме сырого) и молочной продукции";"АПК   и пищевая промышленность";81897;-13;1828;9325;2
"219";9;54381;"ООО   «ФИРМА “ТОРЕС”»";"Краснодарский   край";"Производство   продукции из мяса убойных животных и мяса птицы";"АПК   и пищевая промышленность";38338;41;1718;1414;3
"220";5;44756;"ООО   «СИЛГАН МЕТАЛ ПЭКАДЖИНГ ЭНЕМ»";"Адыгея";"Производство   прочих готовых металлических изделий";"Машиностроение   и металлообработка";38681;15;2944;6645;4
"221";3;42791;"ЗАО   «ВОДНАЯ КОМПАНИЯ “СТАРЫЙ ИСТОЧНИК”»";"Ставропольский   край";"Производство   безалкогольных напитков; производство минеральных вод и пр.";"АПК   и пищевая промышленность";47460;-9;11576;11847;5
"222";7;39292;"ООО   «КУБАНЬ-ПАПИР»";"Краснодарский   край";"Производство   бумаги и картона";"Деревообрабатывающая   и целлюлозно-бумажная";26096;50;10776;6923;6
"223";108657;78313;"ООО   «МЕТРОПОЛИС»";"Краснодарский   край";"Производство   сухарей, печенья, мучных кондитерских изделий";"АПК   и пищевая промышленность";38;24748;15335;1;2
"224";70978;81897;"ООО   «ЛЮБИМЫЙ ГОРОД»";"Волгоградская   область";"Производство   молока (кроме сырого) и молочной продукции";"АПК   и пищевая промышленность";-13;1828;9325;2;1
"225";54381;38338;"АО   «СОЧИНСКИЙ ХЛЕБОКОМБИНАТ»";"Краснодарский   край";"Производство   хлеба и мучных кондитерских изделий, тортов и пирожных";"АПК   и пищевая промышленность";41;1718;1414;3;9
"226";44756;38681;"ЗАОР   «НАРОДНОЕ ПРЕДПРИЯТИЕ “КОНФИЛ”»";"Волгоградская   область";"Производство   шоколада и сахаристых кондитерских изделий";"АПК   и пищевая промышленность";15;2944;6645;4;5
"227";42791;47460;"ОАО   «СЫРОДЕЛ»";"Ставропольский   край";"Производство   сыра и сырных продуктов";"АПК   и пищевая промышленность";-9;11576;11847;5;3
"228";39292;26096;"ООО   «ЗАВОД ЭЛЕКТРОСЕВКАВМОНТАЖИНДУСТРИЯ»";"Краснодарский   край";"Производство   строительных металлических конструкций, изделий и их частей";"Промышленность   строительных материалов";50;10776;6923;6;7
"229";78313;38;"ООО   «АПОЛИНАРИЯ»";"Краснодарский   край";"Производство   гофрированной бумаги и картона, бумажной и картонной тары";"Деревообрабатывающая   и целлюлозно-бумажная";24748;15335;1;2;108657
"230";81897;-13;"ООО   «МУКЕРЬЯ»";"Краснодарский   край";"Производство   муки из зерновых культур";"АПК   и пищевая промышленность";1828;9325;2;1;70978
"231";38338;41;"ООО   «ЛЕМАКС»";"Ростовская   область";"Производство   котлов центрального отопления";"Машиностроение   и металлообработка";1718;1414;3;9;54381
"232";38681;15;"ООО   «ИСАЕВСКИЙ МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД»";"Ростовская   область";"Производство   стальных труб, полых профилей и фитингов";"Чёрная   металлургия";2944;6645;4;5;44756
"233";47460;-9;"ООО   «АРКАДИЯ»";"Краснодарский   край";"Производство   продукции из мяса убойных животных и мяса птицы";"АПК   и пищевая промышленность";11576;11847;5;3;42791
"234";26096;50;"ООО   «СЛАВЯНСКИЙ КОНСЕРВНЫЙ КОМБИНАТ»";"Краснодарский   край";"Переработка   и консервирование овощей (кроме картофеля) и грибов";"АПК   и пищевая промышленность";10776;6923;6;7;39292
"235";38;24748;"ООО   «СТРОИТЕЛЬНО-ИНЖИНИ­РИН­ГОВАЯ КОМПАНИЯ «ВЫБОР-С»»";"Краснодарский   край";"Производство   изделий из бетона для использования в строительстве";"Промышленность   строительных материалов";15335;1;2;108657;78313
"236";-13;1828;"ООО   «АМЕТИСТ-ЮГ»";"Ставропольский   край";"Производство   пластмасс и синтетических смол в первичных формах";"Химическая   промышленность";9325;2;1;70978;81897
"237";41;1718;"ООО   «ВИНА ЛИВАДИИ»";"Республика   Крым";"Производство   вина из винограда";"АПК   и пищевая промышленность";1414;3;9;54381;38338
"238";15;2944;"АО   «СУДОСТРОИТЕЛЬНЫЙ ЗАВОД “ЛОТОС”»";"Астраханская   область";"Строительство   кораблей, судов и плавучих конструкций";"Машиностроение   и металлообработка";6645;4;5;44756;38681
"239";-9;11576;"ООО   «ФЕРМЕРСКОЕ ХОЗЯЙСТВО “ФИРМА САТУРН”»";"Карачаево-Черкесия";"Производство   прочей молочной продукции";"АПК   и пищевая промышленность";11847;5;3;42791;47460
"240";50;10776;"ООО   «ВИННЫЙ ДОМ ФОТИСАЛЬ»";"Республика   Крым";"Производство   вина из винограда";"АПК   и пищевая промышленность";6923;6;7;39292;26096
"241";24748;15335;"ООО   «ОРФЕЙ»";"Ставропольский   край";"Производство   изделий из бумаги и картона";"Целлюлозно-бумажная   и деревообрабатывающая промышленность";1;2;108657;78313;38
"242";1828;9325;"ООО   «РАЙФФАЙЗЕН АГРО»";"Ставропольский   край";"Производство   готовых кормов для животных, содержащихся на фермах";"АПК   и пищевая промышленность";2;1;70978;81897;-13
"243";1718;1414;"ЗАО   «ХИМИК»";"Краснодарский   край";"Производство   красок, лаков, эмалей и аналогичных материалов";"Химическая   промышленность";3;9;54381;38338;41
"244";2944;6645;"ООО   «ПАВЛОВСКИЙ САХАРНЫЙ ЗАВОД»";"Краснодарский   край";"Производство   сахара";"АПК   и пищевая промышленность";4;5;44756;38681;15
